name	zone	localx	localy	localz	posx	posy	posz
aqua_0	Aquarfall	-5.544	3.951	0	-5.544	3.951	0
aqua_1	Aquarfall	-4.339	2.93	0	-4.339	2.93	0
aqua_2	Aquarfall	-5.929	1.924	0	-5.929	1.924	0
aqua_3	Aquarfall	-3.859	1.823	0	-3.859	1.823	0
aqua_4	Aquarfall	-2.341	2.691	0	-2.341	2.691	0
aqua_5	Aquarfall	-6.343	0.476	0	-6.343	0.476	0
aqua_6	Aquarfall	-4.553	0.142	0	-4.553	0.142	0
aqua_7	Aquarfall	-2.837	1.149	0	-2.837	1.149	0
aqua_8	Aquarfall	-1.236	2.073	0	-1.236	2.073	0
aqua_49	Aquarfall	-1.585	1.224	0	-1.585	1.224	0
aqua_9	Aquarfall	-6.618	-0.788	0	-6.618	-0.788	0
aqua_10	Aquarfall	-4.893	-1.029	0	-4.893	-1.029	0
aqua_11	Aquarfall	-3.049	-0.787	0	-3.049	-0.787	0
aqua_12	Aquarfall	-2.187	0.263	0	-2.187	0.263	0
aqua_13	Aquarfall	-5.004	-3.717	0	-5.004	-3.717	0
aqua_14	Aquarfall	-4.102	-2.742	0	-4.102	-2.742	0
aqua_15	Aquarfall	-2.937	-3.477	0	-2.937	-3.477	0
aqua_16	Aquarfall	-1.109	-3.16	0	-1.109	-3.16	0
aqua_17	Aquarfall	-0.76	-0.883	0	-0.76	-0.883	0
aqua_18	Aquarfall	0.972	-0.206	0	0.972	-0.206	0
aqua_19	Aquarfall	0.244	1.111	0	0.244	1.111	0
aqua_20	Aquarfall	2.077	0.719	0	2.077	0.719	0
aqua_21	Aquarfall	3.524	0.128	0	3.524	0.128	0
aqua_22	Aquarfall	0.231	3.254	0	0.231	3.254	0
aqua_23	Aquarfall	2.123	3.116	0	2.123	3.116	0
aqua_24	Aquarfall	3.152	2.192	0	3.152	2.192	0
aqua_25	Aquarfall	4.42	2.981	0	4.42	2.981	0
aqua_26	Aquarfall	5.438	1.746	0	5.438	1.746	0
aqua_27	Aquarfall	6.407	3.688	0	6.407	3.688	0
aqua_28	Aquarfall	7.695	2.462	0	7.695	2.462	0
aqua_29	Aquarfall	7.018	1.419	0	7.018	1.419	0
aqua_30	Aquarfall	5.136	-0.286	0	5.136	-0.286	0
aqua_31	Aquarfall	2.555	-2.558	0	2.555	-2.558	0
aqua_32	Aquarfall	3.338	-3.398	0	3.338	-3.398	0
aqua_33	Aquarfall	5.917	-2.924	0	5.917	-2.924	0
aqua_34	Aquarfall	6.233	-1.486	0	6.233	-1.486	0
aqua_35	Aquarfall	7.3	-2.454	0	7.3	-2.454	0
aqua_36	Aquarfall	7.533	-1.066	0	7.533	-1.066	0
aqua_37	Aquarfall	-2.428	0.54	0	-2.428	0.54	0
aqua_38	Aquarfall	-6.205	-2.722	0	-6.205	-2.722	0
aqua_39	Aquarfall	4.704	0.815	0	4.704	0.815	0
aqua_40	Aquarfall	4.218	-2.184	0	4.218	-2.184	0
aqua_41	Aquarfall	2.244	-0.314	0	2.244	-0.314	0
aqua_42	Aquarfall	-0.9	0.28	0	-0.9	0.28	0
aqua_43	Aquarfall	0.987	-1.906	0	0.987	-1.906	0
aqua_44	Aquarfall	-2.561	-2.02	0	-2.561	-2.02	0
aqua_45	Aquarfall	8.298	1.442	0	8.298	1.442	0
aqua_46	Aquarfall	-1.709	-3.982	0	-1.709	-3.982	0
aqua_47	Aquarfall	3.38	3.38	0	3.38	3.38	0
aqua_48	Aquarfall	1.527	1.992	0	1.527	1.992	0
aqua_50	Aquarfall	3.338	-3.398	0	3.338	-3.398	0
of1_0	Of1	-4.939	0.251	0	-4.932403	0.3169702	0
of1_1	Of1	-3.918	0.318	0	-3.911403	0.3839702	0
of1_2	Of1	-1.92	1.37	0	-1.913403	1.43597	0
of1_3	Of1	-1.687	0.092	0	-1.680403	0.1579702	0
of1_4	Of1	-2.086	-1.871	0	-2.079403	-1.80503	0
of1_5	Of1	0.081	1.595	0	0.08759703	1.66097	0
of1_6	Of1	0.306	-0.026	0	0.312597	0.03997021	0
of1_7	Of1	0.579	-1.959	0	0.585597	-1.89303	0
of1_8	Of1	1.555	1.175	0	1.561597	1.24097	0
of1_9	Of1	1.936	-1.246	0	1.942597	-1.18003	0
of1_10	Of1	3.058	0.464	0	3.064597	0.5299702	0
of1_11	Of1	4.207	0.472	0	4.213597	0.5379702	0
of2_0	Of2	-4.852	0.1	0	-4.845403	0.1659702	0
of2_1	Of2	-3.735	0.226	0	-3.728403	0.2919702	0
of2_2	Of2	-1.894	1.564	0	-1.887403	1.62997	0
of2_3	Of2	-1.298	0.037	0	-1.291403	0.1029702	0
of2_4	Of2	-2.519	-1.224	0	-2.512403	-1.15803	0
of2_5	Of2	-0.481	1.78	0	-0.474403	1.84597	0
of2_6	Of2	0.272	0.036	0	0.2785971	0.1019702	0
of2_7	Of2	0.208	-1.746	0	0.214597	-1.68003	0
of2_8	Of2	1.648	0.802	0	1.654597	0.8679702	0
of2_9	Of2	1.675	-0.978	0	1.681597	-0.9120297	0
of2_10	Of2	3.228	0.283	0	3.234597	0.3489702	0
of2_11	Of2	4.398	0.299	0	4.404597	0.3649702	0
oh1_0	Oh1	-7.733	0.188	0	-7.726403	0.2539702	0
oh1_1	Oh1	-5.331	1.503	0	-5.324403	1.56897	0
oh1_2	Oh1	-4.701	0.118	0	-4.694403	0.1839702	0
oh1_3	Oh1	-6.169	-1.542	0	-6.162403	-1.47603	0
oh1_4	Oh1	-4.917	-2.187	0	-4.910403	-2.12103	0
oh1_5	Oh1	-3.917	2.429	0	-3.910403	2.49497	0
oh1_6	Oh1	-3.319	0.16	0	-3.312403	0.2259702	0
oh1_7	Oh1	-2.631	-2.568	0	-2.624403	-2.50203	0
oh1_8	Oh1	-2.081	3.112	0	-2.074403	3.17797	0
oh1_9	Oh1	-1.062	1.466	0	-1.055403	1.53197	0
oh1_10	Oh1	-1.808	0.121	0	-1.801403	0.1869702	0
oh1_11	Oh1	-0.917	-1.406	0	-0.910403	-1.34003	0
oh1_12	Oh1	-0.404	-3.778	0	-0.397403	-3.71203	0
oh1_13	Oh1	0.172	3.291	0	0.178597	3.35697	0
oh1_14	Oh1	1.685	3.553	0	1.691597	3.61897	0
oh1_15	Oh1	0.32	-0.426	0	0.326597	-0.3600298	0
oh1_16	Oh1	0.932	-3.267	0	0.938597	-3.20103	0
